,Type,Studio,Tags,Rating,Release_year
16,TV   ,Production I.G,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga",4.5,2020.0
18,TV   ,8-Bit,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga",4.48,2021.0
19,TV   ,Lerche,"BL, Drama, Romance, Shounen-ai, Death of a Loved One, Music, noitaminA, Based on a Manga, Mature Themes,, Suicide",4.48,2019.0
20,TV   ,Sunrise,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work",4.47,2008.0
22,Movie,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Gag, Parody, Samurai, Swordplay, Based on a Manga, Violence",4.46,2021.0
24,TV   ,Bones,"Action, Comedy, Exorcists, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence",4.46,2019.0
25,TV   ,Production I.G,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga",4.46,2020.0
26,TV   ,8 Pan,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Love Triangle, Mental Illness, Orphans, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.45,2020.0
27,TV   ,CloverWorks,"Fantasy, Horror, Mystery, Sci Fi, Shounen, Dark Fantasy, Isolated Society, Mind Games, noitaminA, Orphans, Outside World, Psychological, Thriller, Based on a Manga, Mature Themes,, Domestic Abuse,, Self-Harm",4.45,2019.0
28,Movie,Studio Ghibli,"Adventure, Fantasy, Curse, Family Friendly, Japanese Mythology, Magic, Person in a Strange World, Youkai, Original Work",4.45,2001.0
29,TV   ,8-Bit,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Physical Abuse",4.45,2021.0
31,TV   ,WIT Studio,"Action, Adventure, Fantasy, Coming of Age, Disability, Royalty, Based on a Manga, Violence",4.45,2021.0
32,TV   ,Studio Bind,"Action, Adventure, Drama, Fantasy, Romance, Demons, Isekai, Magic, NEET, Person in a Strange World, Reincarnation, Based on a Light Novel, Mature Themes,, Violence",4.45,2021.0
33,TV   ,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.44,2018.0
34,TV   ,Kyoto Animation,"Drama, Romance, Adult Couples, Coming of Age, Family Life, Illness, Based on a Visual Novel, Drug Use,, Mature Themes",4.44,2008.0
36,TV   ,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga",4.44,2012.0
37,TV   ,MAPPA,"Action, Drama, Shoujo, America, Criminals, Gangs, noitaminA, Based on a Manga, Drug Use,, Mature Themes,, Physical Abuse,, Prostitution,, Sexual Abuse,, Violence",4.44,2018.0
39,Movie,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Samurai, Swordplay, Time Travel, Based on a Manga",4.44,2013.0
40,TV   ,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.44,2017.0
41,TV   ,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.44,2018.0
42,TV   ,WIT Studio,"Action, Fantasy, Horror, Dark Fantasy, Isolated Society, Military, Outside World, Political, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.44,2018.0
43,TV   ,WHITE FOX,"Sci Fi, Conspiracy, LGBT Themes, Psychological, Thriller, Time Travel, Based on a Visual Novel, Mature Themes,, Suicide",4.44,2011.0
44,TV   ,Production I.G,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.43,2014.0
45,TV   ,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga",4.43,2011.0
46,TV   ,MADHOUSE,"Action, Comedy, Sci Fi, Seinen, Cyborgs, Monsters, Overpowered Main Characters, Parody, Satire, Superheroes, Superpowers, Based on a Manga, Explicit Violence",4.43,2015.0
47,TV   ,ufotable,"Action, Drama, Fantasy, Shounen, Demons, Historical, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence",4.43,2021.0
48,TV   ,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga",4.43,2015.0
49,Movie,Studio Ghibli,"Adventure, Fantasy, Romance, Curse, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel",4.43,2004.0
50,TV   ,Shuka,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.43,2017.0
51,TV   ,David Production,"Action, Adventure, Shounen, Europe, Italy, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes",4.43,2018.0
53,TV   ,WIT Studio,"Action, Seinen, Death of a Loved One, England, Europe, Historical, Medieval, Revenge, Swordplay, War, Weak to Strong, Based on a Manga, Violence",4.42,2019.0
54,TV   ,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.4,2012.0
55,TV   ,Lerche,"Action, Comedy, Sci Fi, Shounen, Assassins, Non-Human Protagonists, Overpowered Main Characters, Parody, School Life, Teaching, Based on a Manga",4.4,2016.0
56,TV   ,Shuka,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.4,2016.0
57,TV   ,Bones,"Action, Comedy, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Violence",4.4,2018.0
58,TV   ,Kyoto Animation,"Drama, Lifestyle Change, Melancholy, War, Based on a Light Novel, Violence",4.39,2018.0
59,TV   ,8-Bit,"Action, Adventure, Comedy, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Non-Human Protagonists, Overpowered Main Characters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Violence",4.39,2018.0
60,TV   ,Bones,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Tournaments, Weak to Strong, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence,, Domestic Abuse",4.39,2017.0
61,Movie,Studio Chizu,"Fantasy, Slice of Life, Animal Characteristics, Animal Transformation, Childcare, Coming of Age, Contemporary Fantasy, Countryside, Death of a Loved One, Family Life, Lifestyle Change, Single Parent, Werewolves, Original Work, Nudity",4.39,2012.0
62,TV   ,Bones,"Comedy, Sports, Racing, Original Work, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.38,2021.0
63,TV   ,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Weak to Strong, Based on a Manga",4.38,2000.0
64,TV   ,Sunrise,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Revenge, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work, Nudity,, Violence",4.38,2006.0
65,TV   ,David Production,"Action, Adventure, Comedy, Shounen, Monster-of-the-week, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes",4.37,2015.0
67,TV   ,David Production,"Action, Mystery, Shounen, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes,, Violence",4.37,2016.0
69,TV   ,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Tournaments, Based on a Manga",4.37,2009.0
70,TV   ,Artland,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga",4.37,2014.0
71,TV   ,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Death of a Loved One, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Revenge, Based on a Manga, Cannibalism,, Explicit Violence,, Mature Themes,, Suicide",4.37,2013.0
73,TV   ,A-1 Pictures,"Comedy, Drama, Romance, Seinen, Episodic, Love Confession, Mind Games, School Life, Student Council, Based on a Manga",4.37,2020.0
74,TV   ,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.36,2017.0
75,TV   ,SHAFT,"Drama, Seinen, Slice of Life, Board Games, Melancholy, Orphans, Psychological, Based on a Manga, Bullying,, Emotional Abuse",4.36,2017.0
76,TV   ,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.36,2011.0
77,TV   ,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.36,2017.0
78,Movie,Studio VOLN,"Drama, Romance, Seinen, Coming of Age, Illness, Opposites Attract, School Life, Based on a Novel",4.36,2018.0
79,Movie,CloverWorks,"Drama, Romance, Illness, Senpai-Kouhai Relationship, Supernatural, Time Travel, Based on a Light Novel",4.36,2019.0
80,Movie,Lerche,"BL, Drama, Romance, Shounen-ai, Adult Couples, Codependency, Love Triangle, Mature Romance, Music, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Sexual Abuse,, Sexual Content",4.36,2020.0
81,TV   ,Artland,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga",4.36,2014.0
82,Movie,Studio Ghibli,"Action, Adventure, Fantasy, Curse, Environmental, Feudal Japan, Forest, Japanese Mythology, Royalty, Original Work",4.36,1997.0
83,TV   ,Production I.G,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga",4.36,2015.0
85,Movie,Production I.G,"Shounen, Sports, Recap, School Club, Tournaments, Volleyball, Based on a Manga",4.36,2017.0
86,TV   ,8 Pan,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga",4.36,2019.0
88,TV   ,CloverWorks,"Comedy, Romance, Shounen, Romantic Comedy, School Life, Based on a Manga",4.36,2021.0
89,TV   ,Sunrise,"Action, Adventure, Drama, Sci Fi, Bounty Hunters, Episodic, Noir, Outer Space, Western, Original Work, Drug Use,, Mature Themes,, Nudity,, Violence",4.36,1998.0
90,Movie,Brain's Base,"Drama, Romance, Shoujo, Coming of Age, Forest, Japanese Mythology, Loneliness, Melancholy, Supernatural, Youkai, Based on a Manga",4.36,2011.0
91,TV   ,J.C.Staff,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Supernatural, Superpowers, Based on a Manga",4.36,2018.0
92,TV   ,SHAFT,"Action, Comedy, Drama, Ecchi, Mystery, Romance, Supernatural, Tsundere, Based on a Light Novel, Explicit Violence",4.36,2013.0
94,Movie,A-1 Pictures,"BL, Drama, Romance, Shounen-ai, All-Boys School, LGBT Themes, Opposites Attract, School Life, Based on a Manga",4.35,2016.0
95,TV   ,A-1 Pictures,"Drama, Mystery, Seinen, Age Transformation, Crime, Death of a Loved One, Dysfunctional Families, Melancholy, noitaminA, Serial Killers, Supernatural, Thriller, Time Travel, Based on a Manga, Animal Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.35,2016.0
96,TV   ,Kinema Citrus,"Action, Adventure, Drama, Fantasy, Seinen, Animal Characteristics, Betrayal, Dark Fantasy, Demons, Framed for a Crime, Isekai, Monsters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel, Violence",4.35,2019.0
97,TV   ,Brain's Base,"Adventure, Drama, Fantasy, Shounen, Animal Transformation, Melancholy, Non-Human Protagonists, Supernatural, Survival, Based on a Manga, Violence",4.35,2021.0
98,TV   ,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga",4.35,2013.0
99,Movie,Bones,"Drama, Romance, Disability, Based on a Novel",4.35,2020.0
100,TV   ,Kinema Citrus,"Adventure, Drama, Fantasy, Mystery, Sci Fi, Seinen, Androids, Curse, Dark Fantasy, Melancholy, Non-Human Protagonists, Orphans, Outside World, Psychological, Robots, Based on a Manga, Explicit Violence",4.35,2017.0
102,TV   ,Studio DEEN,"Drama, Josei, Adult Couples, Animeism, Apprenticeship, Historical, Rakugo, Based on a Manga",4.35,2017.0
103,Movie,Production I.G,"Shounen, Sports, Recap, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.35,2017.0
105,TV   ,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.34,2009.0
106,Movie,Kinema Citrus,"Adventure, Fantasy, Horror, Mystery, Sci Fi, Seinen, Curse, Dark Fantasy, Human Experimentation, Non-Human Protagonists, Orphans, Outside World, Robots, Based on a Manga, Explicit Violence,, Nudity",4.34,2020.0
107,TV   ,TMS Entertainment,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Death of a Loved One, Dysfunctional Families, Love Triangle, Orphans, Slapstick, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse",4.34,2019.0
108,Movie,SHAFT,"Action, Drama, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence,, Nudity",4.34,2017.0
109,TV   ,8 Pan,"Adventure, Comedy, Sci Fi, Shounen, Person in a Strange World, Post-apocalyptic, Prehistoric, Survival, Based on a Manga",4.34,2021.0
110,TV   ,Bones,"Action, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence",4.34,2019.0
112,TV   ,Pierrot,"Comedy, Drama, Shounen, Delinquents, School Life, Slapstick, Teaching, Work Life, Based on a Manga, Bullying,, Emotional Abuse",4.33,1999.0
113,TV   ,A-1 Pictures,"Drama, Romance, Shounen, Classical Music, Illness, Melancholy, Mental Illness, Music, noitaminA, Psychological, School Life, Tournaments, Unrequited Love, Based on a Manga, Mature Themes,, Physical Abuse,, Domestic Abuse",4.33,2014.0
114,TV   ,Bones,"Action, Mystery, Seinen, Supernatural, Superpowers, Based on a Manga, Mature Themes,, Suicide,, Violence",4.33,2019.0
115,TV   ,TMS Entertainment,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga",4.33,2015.0
116,Movie,Kyoto Animation,"Drama, Melancholy, Based on a Light Novel",4.33,2019.0
117,TV   ,Bones,"Action, Comedy, Exorcists, Overpowered Main Characters, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence",4.33,2016.0
119,TV   ,Production I.G,"Shounen, Sports, Basketball, School Club, Tournaments, Based on a Manga",4.33,2013.0
120,Movie,Shuka,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.33,2018.0
121,TV   ,P.I.C.S.,"Drama, Mystery, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, Social Media, Original Work, Violence",4.32,2021.0
123,TV   ,MADHOUSE,"Mystery, Shounen, Crime, Criminals, Detectives, Mind Games, Overpowered Main Characters, Psychological, Psychopaths, Rivalries, Secret Identity, Serial Killers, Shinigami, Supernatural, Thriller, Vigilantes, Based on a Manga",4.32,2006.0
124,TV   ,Production I.G,"Mystery, Shounen, 19th Century, Detectives, England, Europe, Historical, Sherlock Holmes, Based on a Manga, Violence",4.32,2021.0
125,Movie,ufotable,"Action, Fantasy, Romance, Magic, Superpowers, Based on an Eroge, Based on a Visual Novel, Mature Themes,, Suicide,, Violence",4.32,2020.0
126,Movie,Toei Animation,"Action, Adventure, Shounen, Pirates, Superpowers, Based on a Manga",4.32,2019.0
127,TV   ,St. Signpost,"Action, Drama, Seinen, Ancient China, Historical, Political, War, Based on a Manga",4.32,2020.0
128,TV   ,Toei Animation,"Action, Adventure, Comedy, Fantasy, Shounen, Pirates, Superpowers, Based on a Manga",4.32,1999.0
130,TV   ,LIDEN FILMS,"Action, Drama, Shounen, Delinquents, Gangs, Time Travel, Based on a Manga, Mature Themes,, Suicide,, Violence",4.31,2021.0
131,Movie,Bones,"Action, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga",4.31,2019.0
132,TV   ,ufotable,"Action, Fantasy, Contemporary Fantasy, Magic, Proxy Battles, Rivalries, Superpowers, Urban Fantasy, Based on a Light Novel, Violence",4.31,2012.0
133,TV   ,Bones,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Weak to Strong, Based on a Manga, Violence",4.31,2016.0
134,Movie,WHITE FOX,"Drama, Sci Fi, Thriller, Time Travel, Based on a Visual Novel",4.31,2013.0
135,Movie,J.C.Staff,"Comedy, Ecchi, Fantasy, Isekai, NEET, Person in a Strange World, RPG, Based on a Light Novel",4.31,2019.0
136,TV   ,MAPPA,"Drama, Sports, Adult Couples, Ice Skating, Rivalries, Tournaments, Original Work",4.31,2016.0
138,TV   ,MAPPA,"Action, Adventure, Shounen, 15th Century, Curse, Dark Fantasy, Deal with the Devil, Demons, Feudal Japan, Historical, Samurai, Supernatural, War, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Content",4.3,2019.0
139,TV   ,Production I.G,"Drama, Josei, Slice of Life, Childcare, Family Life, Iyashikei, Lifestyle Change, noitaminA, Single Parent, Based on a Manga",4.3,2011.0
140,Movie,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Recap, Samurai, Swordplay, Based on a Manga",4.3,2010.0
141,Movie,ufotable,"Drama, Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel, Explicit Violence,, Mature Themes,, Physical Abuse,, Domestic Abuse",4.3,2008.0
142,TV   ,J.C.Staff,"Drama, Shounen, Anime Industry, Manga Industry, Otaku Culture, Voice Acting, Writers, Based on a Manga",4.3,2012.0
143,TV   ,J.C.Staff,"Comedy, Shounen, Slice of Life, Breaking the Fourth Wall, Gag, Psychic Powers, School Life, Short Episodes, Supernatural, Superpowers, Based on a Manga",4.3,2016.0
145,Movie,A-1 Pictures,"Shounen, 19th Century, Butlers, Demons, Europe, Master-Servant Relationship, Non-Human Protagonists, Supernatural, Zombies, Based on a Manga, Violence",4.3,2017.0
146,Movie,Studio Chizu,"Action, Fantasy, Anthropomorphic, Coming of Age, Isekai, Japanese Mythology, Non-Human Protagonists, Person in a Strange World, Original Work",4.3,2015.0
147,TV   ,Kyoto Animation,"Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Cohabitation, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Reverse Isekai, Roommates, Urban Fantasy, Based on a Manga",4.3,2021.0
148,TV   ,Platinum Vision,"Drama, Romance, Shounen, Music, School Club, School Life, Based on a Manga",4.3,2019.0
149,Movie,Kyoto Animation,"Drama, Sci Fi, Shounen, Psychological, Time Travel, Based on a Light Novel",4.3,2010.0
150,Movie,SHAFT,"Action, Ecchi, Psychological, Supernatural, Vampires, Based on a Light Novel, Explicit Violence",4.29,2016.0
151,Movie,Artland,"Fantasy, Seinen, Countryside, Forest, Iyashikei, Supernatural, Based on a Manga",4.29,2015.0
152,TV   ,MADHOUSE,"Action, Fantasy, Sci Fi, Dark Fantasy, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, RPG, Skeletons, Trapped in a Video Game, Virtual Reality, Based on a Light Novel",4.29,2018.0
153,TV   ,WHITE FOX,"Action, Adventure, Drama, Fantasy, Cheats, Dark Fantasy, Isekai, Magic, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel",4.29,2021.0
154,TV   ,C-Station,"Adventure, Comedy, Seinen, Slice of Life, Iyashikei, The Great Outdoors, Based on a Manga",4.29,2021.0
155,Movie,NUT,"Action, Fantasy, Guns, Isekai, Military, Person in a Strange World, Reincarnation, War, Based on a Light Novel, Violence",4.29,2019.0
161,TV   ,MADHOUSE,"Action, Drama, Horror, Sci Fi, Seinen, Aliens, Body Sharing, Psychological, Based on a Manga, Animal Abuse,, Bullying,, Explicit Violence,, Mature Themes",4.28,2014.0
163,TV   ,Bones,"Comedy, Reverse Harem, Romance, Shoujo, Crossdressing, Debt, Hosts, School Club, School Life, Social Gap, Based on a Manga",4.28,2006.0
164,TV   ,J.C.Staff,"Comedy, Ecchi, Shounen, Cooking, Culinary School, Food and Beverage, School Life, Tournaments, Based on a Manga",4.28,2016.0
165,TV   ,Production I.G,"Sci Fi, Seinen, Cyberpunk, Cyborgs, Hacking, Noir, Based on a Manga",4.28,2004.0
166,TV   ,Kinema Citrus,"Comedy, Shounen, Slice of Life, Art, Countryside, Island, Iyashikei, Lifestyle Change, Based on a Manga",4.28,2014.0
167,TV   ,Bones,"Action, Drama, Shounen, Ghosts, Gods, Japanese Mythology, Non-Human Protagonists, Supernatural, Based on a Manga, Violence",4.28,2015.0
168,TV   ,MADHOUSE,"Shounen, Sports, Baseball, Tournaments, Based on a Manga",4.28,2019.0
169,TV   ,WHITE FOX,"Action, Adventure, Drama, Fantasy, Cheats, Dark Fantasy, Isekai, Magic, Person in a Strange World, Psychological, Summoned Into Another World, Thriller, Time Travel, Based on a Light Novel, Explicit Violence",4.28,2020.0
170,TV   ,Ajia-do,"Drama, Fantasy, Apprenticeship, Cheats, Isekai, Magic, Medieval, Modern Knowledge, Person in a Strange World, Reincarnation, Based on a Light Novel",4.28,2020.0
173,TV   ,WHITE FOX,"Drama, Mystery, Sci Fi, Psychological, Time Travel, Based on a Visual Novel, Violence",4.28,2018.0
174,TV   ,Geno Studio,"Action, Adventure, Drama, Historical, Military, Based on a Manga, Violence",4.28,2020.0
175,Movie,CoMix Wave Films,"Drama, Lifestyle Change, Supernatural, Writers, Original Work",4.27,2019.0
177,TV   ,A-1 Pictures,"Action, Drama, Sci Fi, Military, War, Based on a Light Novel, Violence",4.27,2021.0
179,TV   ,Brain's Base,"Comedy, Drama, Shoujo, Slice of Life, Childcare, Iyashikei, Lifestyle Change, Orphans, School Club, School Life, Siblings, Based on a Manga",4.27,2018.0
181,Movie,ufotable,"Drama, Mystery, Overpowered Main Characters, Supernatural, Based on a Light Novel, Drug Use,, Explicit Violence,, Mature Themes",4.27,2009.0
182,TV   ,Synergy SP,"Drama, Shounen, Sports, Baseball, Based on a Manga",4.27,2009.0
183,TV   ,Bones,"Action, Mystery, Seinen, Detectives, Gangs, Guns, Mafia, Orphans, Supernatural, Superpowers, Based on a Manga, Violence",4.27,2016.0
184,Movie,P.A. WORKS,"Adventure, Drama, Fantasy, Childcare, Original Work, Violence",4.27,2018.0
186,TV   ,Artland,"Fantasy, Seinen, Episodic, Iyashikei, Supernatural, Based on a Manga",4.27,2005.0
187,Movie,Studio Hibari,"BL, Romance, Yaoi, Adult Couples, Cohabitation, Death of a Loved One, Island, LGBT Themes, Mature Romance, Orphans, Writers, Based on a Manga, Explicit Sex",4.27,2020.0
188,Movie,Toei Animation,"Action, Adventure, Fantasy, Shounen, Island, Pirates, Superpowers, Based on a Manga",4.27,2009.0
189,TV   ,J.C.Staff,"Comedy, Ecchi, Shounen, Boarding House, Cooking, Culinary School, Food and Beverage, Neighbors, School Life, Tournaments, Based on a Manga",4.27,2017.0
190,Movie,Production I.G,"Shounen, Sports, Basketball, Based on a Manga",4.26,2017.0
191,TV   ,GAINAX,"Action, Adventure, Comedy, Mecha, Sci Fi, Combining Mecha, Post-apocalyptic, Super Robot, Original Work, Violence",4.26,2007.0
192,TV   ,TMS Entertainment,"Comedy, Fantasy, Romance, Shoujo, Animal Characteristics, Gods, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Youkai, Based on a Manga",4.26,2012.0
193,TV   ,Production I.G,"Mystery, Shounen, 19th Century, Detectives, England, Europe, Historical, Sherlock Holmes, Based on a Manga",4.26,2020.0
